date,equity,own_equity,expo_real,nominal_sum,cash,credit,implied_lev,debt,lev_real,lev_account,margin_ratio,liq_room,cash_ratio,debt_ratio,max_sector,max_sector_name,max_pos,stop_below,stop_missing,stop_loss,stop_loss_ratio,debt_to_salary,violations,국장_total,국장_equity,미장_equity,ISA_equity,source
2026-06-01,,,,,,,,,,,,,,,,,,,,,,,,1084975500.0,809140626.0,,,backfill(국장만)
2026-06-02,,,,,,,,,,,,,,,,,,,,,,,,1151168000.0,827126651.0,,,backfill(국장만)
2026-06-03,,,,,,,,,,,,,,,,,,,,,,,,1151168000.0,827126651.0,,,backfill(국장만)
2026-06-04,,,,,,,,,,,,,,,,,,,,,,,,1208876985.0,786958358.0,,,backfill(국장만)
2026-06-05,,,,,,,,,,,,,,,,,,,,,,,,1008570000.0,685415234.0,,,backfill(국장만)
2026-06-08,,,,,,,,,,,,,,,,,,,,,,,,908402135.0,567891222.0,,,backfill(국장만)
2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,1116456000.0,694048032.0,,,backfill(국장만)
2026-06-10,,,,,,,,,,,,,,,,,,,,,,,,1026547300.0,603794412.0,,,backfill(국장만)
2026-06-11,,,,,,,,,,,,,,,,,,,,,,,,1113962400.0,606280733.0,,,backfill(국장만)
2026-06-12,,,,,,,,,,,,,,,,,,,,,,,,1064878000.0,667228183.0,,,backfill(국장만)
2026-06-15,,,,,,,,,,,,,,,,,,,,,,,,1099471500.0,748886222.0,,,backfill(국장만)
2026-06-16,,,,,,,,,,,,,,,,,,,,,,,,1108118000.0,787208364.0,,,backfill(국장만)
2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,1172774000.0,815889907.0,,,backfill(국장만)
2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,1226505000.0,860110951.0,,,backfill(국장만)
2026-06-19,,,,,,,,,,,,,,,,,,,,,,,,1217987000.0,852746866.0,,,backfill(국장만)
2026-06-22,,,,,,,,,,,,,,,,,,,,,,,,1269801500.0,879668843.0,,,backfill(국장만)
2026-06-23,,,,,,,,,,,,,,,,,,,,,,,,1170452300.0,690932497.0,,,backfill(국장만)
2026-06-24,,,,,,,,,,,,,,,,,,,,,,,,1209049050.0,746727609.0,,,backfill(국장만)
2026-06-25,,,,,,,,,,,,,,,,,,,,,,,,1237014750.0,841614858.0,,,backfill(국장만)
2026-06-26,,,,,,,,,,,,,,,,,,,,,,,,1183852855.0,746821582.0,,,backfill(국장만)
2026-06-29,,,,,,,,,,,,,,,,,,,,,,,,1140849490.0,736094895.0,,,backfill(국장만)
2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,1146068545.0,754329482.0,,,backfill(국장만)
2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,1105238905.0,710992019.0,,,backfill(국장만)
2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,1152548205.0,566008823.0,,,backfill(국장만)
2026-07-03,,,,,,,,,,,,,,,,,,,,,,,,1054276500.0,690084143.0,,,backfill(국장만)
2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,1096991500.0,686279901.0,,,backfill(국장만)
2026-07-07,,,,,,,,,,,,,,,,,,,,,,,,1178651120.0,606540952.0,,,backfill(국장만)
2026-07-08,,,,,,,,,,,,,,,,,,,,,,,,1092038235.0,520741487.0,,,backfill(국장만)
2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,1156690780.0,559306750.0,,,backfill(국장만)
2026-07-10,,,,,,,,,,,,,,,,,,,,,,,,1189540000.0,581255304.0,,,backfill(국장만)
