date,type,from_account,to_account,amount,memo,entry_via
2025-11-18,개시잔액,,미장,150000000,'25.11.18 기준 개시 잔액,sheet
2025-11-18,개시잔액,,국장,80000000,'25.11.18 기준 개시 잔액,sheet
2025-11-18,개시잔액,,ISA,40000000,'25.11.18 기준 개시 잔액,sheet
2025-11-18,개시잔액,,중국,33000000,'25.11.18 기준 개시 잔액,sheet
2025-11-25,외부입금,,업비트,40000000,생활안정자금 실행분 4천만원 입금(11/25) 후 업비트 투입 [대출금],sheet
2025-11-27,계좌간이체,업비트,국장,20000000,생활안정자금 4천 중 총 2천 국장 바이오 투입,sheet
2025-11-28,계좌간이체,업비트,국장,10000000,생활안정자금 4천 중 총 3천 국장 바이오 투입,sheet
2025-12-01,계좌간이체,국장,업비트,5000000,,sheet
2025-12-08,계좌간이체,업비트,국장,5000000,국내바이오(디앤디) 매수 목적 업비트에서 국장으로 500 이동,sheet
2025-12-12,계좌간이체,중국,국장,10000000,"중국 투자 축소, 국장 바이오 투자 확대 목적",sheet
2025-12-16,계좌간이체,업비트,국장,10000000,"국장 현금 비상금 확보 대비 코인 전량 본절, 생활안정자금 4천 전량 국장 바이오로 투입",sheet
2025-12-22,계좌간이체,중국,업비트,3000000,업비트 임시 거치. 해 바뀐 후 ISA로 옮겨 운용 예정,sheet
2026-01-02,외부입금,,업비트,4000000,'24.경영성과급 400만원 업비트 입금 (추후 ISA 이동 검토) [자기자금],sheet
2026-01-13,계좌간이체,중국,국장,20000000,중국계좌 정리 후 국장 이동,sheet
2026-01-13,외부출금,업비트,,7000000,현금 700만원 예금계좌로 이동,sheet
2026-01-21,계좌간이체,미장,국장,27000000,"미장→국장 2,700만원 추가 이동(미장 기준금액 총 4,000만원 감소)",sheet
2026-01-21,계좌간이체,미장,국장,13000000,"미장→국장 1,300만원 이동",sheet
2026-01-21,외부입금,,국장,7000000,예금→국장 700만원 이동 [자기자금],sheet
2026-02-02,외부입금,,국장,1000000,국장 100만원 추가 입금(미수금 해결 목적 겸) [자기자금],sheet
2026-02-13,외부입금,,국장,2000000,성과급 중 200만원 국장 계좌 입금 [자기자금],sheet
2026-03-16,계좌간이체,미장,국장,10000000,,sheet
2026-03-20,계좌간이체,미장,국장,10000000,,sheet
2026-04-13,계좌간이체,국장,미장,10000000,,sheet
2026-04-21,외부출금,국장,,10000000,위험관리 및 예비비 목적으로 입출금 계좌로 천만원 송금,sheet
2026-07-20,계좌간이체,미장,국장,40000000,국장 청산 방지 등으로 미장→국장 임시 송금(4천),sheet
2026-07-28,계좌간이체,미장,국장,40000000,국장 청산 방지 등으로 미장→국장 임시 송금(4천),sheet
2026-07-29,계좌간이체,미장,국장,65000000,국장 청산 방지 등으로 미장→국장 임시 송금(6.5천),sheet
2026-08-03,계좌간이체,미장,국장,20000000,국장 청산 방지 등으로 미장→국장 임시 송금(2천),sheet
2026-08-13,계좌간이체,국장,미장,5000000,미장 출금 금액 조금씩 다시 보충하고자 함,sheet
2025-11-30,신용이자,국장,,609108,2025-11 증권사 신용이자,sheet
2025-12-31,신용이자,국장,,404008,2025-12 증권사 신용이자,sheet
