date,equity,own_equity,expo_real,nominal_sum,cash,credit,implied_lev,debt,lev_real,lev_account,margin_ratio,liq_room,cash_ratio,debt_ratio,max_sector,max_sector_name,max_pos,stop_below,stop_missing,stop_loss,stop_loss_ratio,debt_to_salary,surface_pnl,net_pnl,net_return,violations,국장_total,국장_equity,미장_equity,ISA_equity,emotion,source
2025-12-31,482830222.0,,,,,,,,,,,,,,,,,,,,,,142830222.0,,,,,,,,,backfill(순자산)
2026-01-02,491585850.0,,,,,,,,,,,,,,,,,,,,,,151585850.0,,,,,,,,,backfill(순자산)
2026-01-06,518746935.0,,,,,,,,,,,,,,,,,,,,,,178746935.0,,,,,,,,,backfill(순자산)
2026-01-09,540031674.0,,,,,,,,,,,,,,,,,,,,,,200031674.0,,,,,,,,,backfill(순자산)
2026-01-13,527489663.0,,,,,,,,,,,,,,,,,,,,,,187489663.0,,,,,,,,,backfill(순자산)
2026-01-23,510270150.0,,,,,,,,,,,,,,,,,,,,,,163270150.0,,,,,,,,,backfill(순자산)
2026-01-28,594772002.0,,,,,,,,,,,,,,,,,,,,,,247772002.0,,,,,,,,,backfill(순자산)
2026-01-30,557382117.0,,,,,,,,,,,,,,,,,,,,,,210382117.0,,,,,,,,,backfill(순자산)
2026-02-06,514028654.0,,,,,,,,,,,,,,,,,,,,,,166028654.0,,,,,,,,,backfill(순자산)
2026-02-13,545378168.0,,,,,,,,,,,,,,,,,,,,,,195378168.0,,,,,,,,,backfill(순자산)
2026-02-20,585766797.0,,,,,,,,,,,,,,,,,,,,,,235766797.0,,,,,,,,,backfill(순자산)
2026-02-27,656753322.0,,,,,,,,,,,,,,,,,,,,,,306753322.0,,,,,,,,,backfill(순자산)
2026-03-06,540550122.0,,,,,,,,,,,,,,,,,,,,,,190550122.0,,,,,,,,,backfill(순자산)
2026-03-13,551303827.0,,,,,,,,,,,,,,,,,,,,,,201303827.0,,,,,,,,,backfill(순자산)
2026-03-20,605103384.0,,,,,,,,,,,,,,,,,,,,,,255103384.0,,,,,,,,,backfill(순자산)
2026-03-27,591472013.0,,,,,,,,,,,,,,,,,,,,,,241472013.0,,,,,,,,,backfill(순자산)
2026-05-01,743982171.0,,,,,,,,,,,,,,,,,,,,,,403982171.0,,,,,,,,,backfill(순자산)
2026-06-01,809140626,,,,,,,,,,,,,,,,,,,,,,469140626,,,,1084975500.0,809140626.0,,,,backfill(순자산)
2026-06-02,827126651,,,,,,,,,,,,,,,,,,,,,,487126651,,,,1151168000.0,827126651.0,,,,backfill(순자산)
2026-06-03,827126651,,,,,,,,,,,,,,,,,,,,,,487126651,,,,1151168000.0,827126651.0,,,,backfill(순자산)
2026-06-04,786958358,,,,,,,,,,,,,,,,,,,,,,446958358,,,,1208876985.0,786958358.0,,,,backfill(순자산)
2026-06-05,685415234,,,,,,,,,,,,,,,,,,,,,,345415234,,,,1008570000.0,685415234.0,,,,backfill(순자산)
2026-06-08,567891222,,,,,,,,,,,,,,,,,,,,,,227891222,,,,908402135.0,567891222.0,,,,backfill(순자산)
2026-06-09,694048032,,,,,,,,,,,,,,,,,,,,,,354048032,,,,1116456000.0,694048032.0,,,,backfill(순자산)
2026-06-10,603794412,,,,,,,,,,,,,,,,,,,,,,263794412,,,,1026547300.0,603794412.0,,,,backfill(순자산)
2026-06-11,606280733,,,,,,,,,,,,,,,,,,,,,,266280733,,,,1113962400.0,606280733.0,,,,backfill(순자산)
2026-06-12,667228183,,,,,,,,,,,,,,,,,,,,,,327228183,,,,1064878000.0,667228183.0,,,,backfill(순자산)
2026-06-15,748886222,,,,,,,,,,,,,,,,,,,,,,408886222,,,,1099471500.0,748886222.0,,,,backfill(순자산)
2026-06-16,787208364,,,,,,,,,,,,,,,,,,,,,,447208364,,,,1108118000.0,787208364.0,,,,backfill(순자산)
2026-06-17,815889907,,,,,,,,,,,,,,,,,,,,,,475889907,,,,1172774000.0,815889907.0,,,,backfill(순자산)
2026-06-18,860110951,,,,,,,,,,,,,,,,,,,,,,520110951,,,,1226505000.0,860110951.0,,,,backfill(순자산)
2026-06-19,852746866,,,,,,,,,,,,,,,,,,,,,,512746866,,,,1217987000.0,852746866.0,,,,backfill(순자산)
2026-06-22,879668843,,,,,,,,,,,,,,,,,,,,,,539668843,,,,1269801500.0,879668843.0,,,,backfill(순자산)
2026-06-23,690932497,,,,,,,,,,,,,,,,,,,,,,350932497,,,,1170452300.0,690932497.0,,,,backfill(순자산)
2026-06-24,746727609,,,,,,,,,,,,,,,,,,,,,,406727609,,,,1209049050.0,746727609.0,,,,backfill(순자산)
2026-06-25,841614858,,,,,,,,,,,,,,,,,,,,,,501614858,,,,1237014750.0,841614858.0,,,,backfill(순자산)
2026-06-26,746821582,,,,,,,,,,,,,,,,,,,,,,406821582,,,,1183852855.0,746821582.0,,,,backfill(순자산)
2026-06-29,736094895,,,,,,,,,,,,,,,,,,,,,,396094895,,,,1140849490.0,736094895.0,,,,backfill(순자산)
2026-06-30,754329482,,,,,,,,,,,,,,,,,,,,,,414329482,,,,1146068545.0,754329482.0,,,,backfill(순자산)
2026-07-01,710992019,,,,,,,,,,,,,,,,,,,,,,370992019,,,,1105238905.0,710992019.0,,,,backfill(순자산)
2026-07-02,566008823,,,,,,,,,,,,,,,,,,,,,,226008823,,,,1152548205.0,566008823.0,,,,backfill(순자산)
2026-07-03,690084143,,,,,,,,,,,,,,,,,,,,,,350084143,,,,1054276500.0,690084143.0,,,,backfill(순자산)
2026-07-06,686279901,,,,,,,,,,,,,,,,,,,,,,346279901,,,,1096991500.0,686279901.0,,,,backfill(순자산)
2026-07-07,606540952,,,,,,,,,,,,,,,,,,,,,,266540952,,,,1178651120.0,606540952.0,,,,backfill(순자산)
2026-07-08,520741487,,,,,,,,,,,,,,,,,,,,,,180741487,,,,1092038235.0,520741487.0,,,,backfill(순자산)
2026-07-09,559306750,,,,,,,,,,,,,,,,,,,,,,219306750,,,,1156690780.0,559306750.0,,,,backfill(순자산)
2026-07-10,581255304,,,,,,,,,,,,,,,,,,,,,,241255304,,,,1189540000.0,581255304.0,,,,backfill(순자산)
2026-07-13,359604206,,,,,,,,,,,,,,,,,,,,,,19604206,,,,1094918500.0,359604206.0,,,,backfill(순자산)
2026-07-14,398445035,,,,,,,,,,,,,,,,,,,,,,58445035,,,,1134766790.0,398445035.0,,,,backfill(순자산)
2026-07-15,518019845,,,,,,,,,,,,,,,,,,,,,,178019845,,,,1254341600.0,518019845.0,,,,backfill(순자산)
2026-07-16,358091590,,,,,,,,,,,,,,,,,,,,,,18091590,,,,1094413345.0,358091590.0,,,,backfill(순자산)
2026-07-17,358091590,,,,,,,,,,,,,,,,,,,,,,18091590,,,,1094413345.0,358091590.0,,,,backfill(순자산)
2026-07-20,334173495,,,,,,,,,,,,,,,,,,,,,,-5826505,,,,1030495250.0,334173495.0,,,,backfill(순자산)
2026-07-21,399297676,,,,,,,,,,,,,,,,,,,,,,59297676,,,,1067312500.0,399297676.0,,,,backfill(순자산)
2026-07-22,415145334,,,,,,,,,,,,,,,,,,,,,,75145334,,,,1074150000.0,415145334.0,,,,backfill(순자산)
2026-07-23,484048843,,,,,,,,,,,,,,,,,,,,,,144048843,,,,1163655000.0,484048843.0,,,,backfill(순자산)
2026-07-24,357441626,,,,,,,,,,,,,,,,,,,,,,17441626,,,,1073995600.0,357441626.0,,,,backfill(순자산)
2026-07-27,384135386,,,,,,,,,,,,,,,,,,,,,,44135386,,,,1100689360.0,384135386.0,,,,backfill(순자산)
2026-07-28,217853502,,,,,,,,,,,,,,,,,,,,,,-122146498,,,,562800000.0,217853502.0,,,,backfill(순자산)
2026-07-29,216135728,,,,,,,,,,,,,,,,,,,,,,-123864272,,,,585280000.0,216135728.0,,,,backfill(순자산)
2026-07-30,280590881,,,,,,,,,,,,,,,,,,,,,,-59409119,,,,565857956.0,,56579497.0,29117438.0,,backfill(순자산)
2026-07-31,513900030,,,,,,,,,,,,,,,,,,,,,,173900030,,,,837173357.0,,59980010.0,41355748.0,,backfill(순자산)
2026-08-04,485288719,,,,,,,,,,,,,,,,,,,,,,145288719,,,,876353938.0,,50400000.0,36971366.0,,backfill(순자산)
2026-08-10,361082576.0,,,,,,,,,,,,,,,,,,,,,,,,,,760373938.0,281937353.0,47167857.0,31977366.0,,backfill(전체)
2026-08-11,361082576.0,121082576.0,1079147857.0,837047857.0,2471304.0,478436585.0,242100000.0,720536585.0,8.912495,2.988646,1.589289,0.092613,0.002285,0.66769,0.945105,반도체/HW,0.283568,7,0,14882271.0,0.12291,9.006707,,,,"R01,R02,R03,R04,R05,R06,R07,R08",760373938.0,281937353.0,47167857.0,31977366.0,,cache
2026-08-12,439363221.0,199363221.0,1178403634.0,838687878.0,79111928.0,478436585.0,339715756.0,818152341.0,5.910838,2.682072,1.737725,0.165239,0.062911,0.694289,0.949729,반도체/HW,0.283014,7,0,4015098.0,0.02014,10.226904,99363221.0,76055912.92,0.223694,"R04,R06,R07,R08",831391440.0,352954855.0,52000000.0,34408366.0,탐욕,cache
2026-08-13,514867612.0,274867612.0,1402413634.0,992047878.0,9965888.0,487146154.0,410365756.0,897511910.0,5.102142,2.723833,1.864072,0.19025,0.007056,0.639977,0.94518,반도체/HW,0.314501,5,0,39896513.0,0.145148,11.218899,174867612.0,151560303.92,0.445766,"R03,R04,R05,R06,R07,R08",908075400.0,420929246.0,52000000.0,41938366.0,,cache
