date,개인,외국인,기관계,금융투자,보험,투신사모,은행,기타금융기관,연기금등,기타법인,source
2026-01-02,-4252.0,6309.0,-2477.0,-1138.0,-615.0,-517.0,73.0,-84.0,-196.0,419.0,naver
2026-01-05,-15141.0,21726.0,-7046.0,-508.0,-1525.0,-3486.0,85.0,-47.0,-1564.0,461.0,naver
2026-01-06,5963.0,-6184.0,-664.0,1697.0,-243.0,-1406.0,66.0,-54.0,-724.0,886.0,naver
2026-01-07,-2944.0,12548.0,-9397.0,-3594.0,-1453.0,-3499.0,64.0,32.0,-947.0,-207.0,naver
2026-01-08,12540.0,-979.0,-14014.0,-8547.0,-463.0,-3524.0,12.0,19.0,-1510.0,2453.0,naver
2026-01-09,1339.0,-16068.0,12046.0,11654.0,-505.0,239.0,127.0,3.0,527.0,2683.0,naver
2026-01-12,-1013.0,-3512.0,2101.0,5682.0,-1337.0,-1706.0,45.0,-82.0,-501.0,2425.0,naver
2026-01-13,-7125.0,-2793.0,7881.0,7769.0,-821.0,796.0,104.0,12.0,22.0,2037.0,naver
2026-01-14,-4377.0,-3760.0,5887.0,6045.0,-396.0,25.0,-2.0,66.0,149.0,2250.0,naver
2026-01-15,-18235.0,3450.0,12905.0,14577.0,-281.0,-965.0,-59.0,-55.0,-312.0,1880.0,naver
2026-01-16,-9383.0,4350.0,3083.0,5114.0,-789.0,-282.0,-10.0,-49.0,-901.0,1949.0,naver
2026-01-19,-7513.0,5532.0,-256.0,2054.0,-490.0,-669.0,32.0,5.0,-1188.0,2237.0,naver
2026-01-20,3524.0,1232.0,-6500.0,-2089.0,-367.0,-2235.0,34.0,-114.0,-1729.0,1744.0,naver
2026-01-21,-9965.0,4394.0,3217.0,2946.0,-230.0,1068.0,-59.0,55.0,-564.0,2355.0,naver
2026-01-22,1555.0,-2432.0,-1568.0,3161.0,-1922.0,-790.0,16.0,16.0,-2049.0,2445.0,naver
2026-01-23,-7239.0,1438.0,4790.0,9290.0,-189.0,-1492.0,-69.0,-30.0,-2719.0,1012.0,naver
2026-01-26,17157.0,-1588.0,-15414.0,-9528.0,-340.0,-3569.0,-75.0,-172.0,-1730.0,-154.0,naver
2026-01-27,-10197.0,8448.0,2474.0,5695.0,-706.0,-2047.0,87.0,17.0,-572.0,-725.0,naver
2026-01-28,12131.0,4008.0,-14021.0,-5710.0,-1414.0,-3815.0,80.0,-2261.0,-900.0,-2118.0,naver
2026-01-29,16173.0,-14897.0,-1673.0,1569.0,-714.0,-1166.0,13.0,-178.0,-1197.0,397.0,naver
2026-01-30,22979.0,-19729.0,-4241.0,-309.0,-1418.0,-2185.0,140.0,-162.0,-307.0,991.0,naver
2026-02-02,45874.0,-25168.0,-22125.0,-21755.0,522.0,-709.0,-6.0,222.0,-399.0,1419.0,naver
2026-02-03,-29423.0,7038.0,21708.0,14513.0,-139.0,5880.0,21.0,474.0,958.0,677.0,naver
2026-02-04,-10119.0,-9413.0,17836.0,14945.0,-234.0,2572.0,177.0,86.0,290.0,1695.0,naver
2026-02-05,67791.0,-50108.0,-20693.0,-18829.0,332.0,-1419.0,209.0,-2.0,-985.0,3010.0,naver
2026-02-06,21736.0,-33233.0,9414.0,5782.0,239.0,1899.0,212.0,-42.0,1323.0,2083.0,naver
2026-02-09,-32947.0,4320.0,27123.0,24244.0,-428.0,4265.0,-95.0,0.0,-863.0,1504.0,naver
2026-02-10,-8780.0,1474.0,5643.0,7442.0,-249.0,-618.0,-50.0,95.0,-977.0,1663.0,naver
2026-02-11,-17149.0,8461.0,6927.0,5223.0,-332.0,2188.0,-2.0,112.0,-263.0,1761.0,naver
2026-02-12,-44547.0,29954.0,13800.0,10816.0,-815.0,2718.0,201.0,158.0,722.0,793.0,naver
2026-02-13,7141.0,-9220.0,831.0,1810.0,-688.0,-897.0,-26.0,69.0,563.0,1248.0,naver
2026-02-19,-8609.0,-9396.0,16542.0,16691.0,-1452.0,1100.0,-27.0,77.0,154.0,1463.0,naver
2026-02-20,-9872.0,-7420.0,16149.0,19351.0,-739.0,-972.0,3.0,-72.0,-1422.0,1143.0,naver
2026-02-23,10815.0,-11132.0,-1271.0,5330.0,-1600.0,-2279.0,-20.0,-16.0,-2685.0,1588.0,naver
2026-02-24,-22861.0,-2013.0,23773.0,26669.0,-466.0,-1683.0,15.0,-44.0,-718.0,1102.0,naver
2026-02-25,2307.0,-13082.0,14701.0,19937.0,-1314.0,-4730.0,-6.0,65.0,750.0,-3926.0,naver
2026-02-26,6498.0,-21135.0,12569.0,16371.0,-2084.0,-756.0,-100.0,119.0,-981.0,2068.0,naver
2026-02-27,62496.0,-70528.0,5666.0,11043.0,-654.0,-2544.0,-5.0,109.0,-2283.0,2366.0,naver
2026-03-03,57974.0,-51487.0,-8859.0,-7283.0,425.0,-1904.0,-305.0,-204.0,412.0,2372.0,naver
2026-03-04,796.0,2303.0,-5978.0,-5830.0,600.0,209.0,-223.0,-7.0,-727.0,2880.0,naver
2026-03-05,18228.0,-1446.0,-17186.0,-12234.0,-652.0,-2520.0,-720.0,-189.0,-872.0,403.0,naver
2026-03-06,29488.0,-19418.0,-11142.0,-5975.0,-273.0,-3625.0,47.0,432.0,-1748.0,1072.0,naver
2026-03-09,46242.0,-31735.0,-15441.0,-11713.0,111.0,-2954.0,-174.0,310.0,-1020.0,934.0,naver
2026-03-10,-18340.0,10283.0,9164.0,7448.0,-447.0,1956.0,26.0,275.0,-93.0,-1107.0,naver
2026-03-11,-5086.0,-2563.0,7821.0,7254.0,-269.0,1425.0,94.0,211.0,-893.0,-173.0,naver
2026-03-12,22291.0,-23831.0,775.0,-746.0,125.0,1812.0,12.0,-53.0,-374.0,764.0,naver
2026-03-13,24512.0,-14502.0,-10434.0,-9500.0,13.0,-1482.0,32.0,218.0,285.0,424.0,naver
2026-03-16,7164.0,-8485.0,911.0,-1040.0,135.0,1164.0,-13.0,253.0,412.0,411.0,naver
2026-03-17,-5752.0,-1740.0,7341.0,4274.0,-472.0,2543.0,-14.0,167.0,843.0,152.0,naver
2026-03-18,-38717.0,8802.0,31093.0,30984.0,-452.0,-612.0,67.0,146.0,960.0,-1178.0,naver
2026-03-19,24116.0,-18760.0,-6649.0,-6655.0,30.0,417.0,38.0,170.0,-649.0,1294.0,naver
2026-03-20,22338.0,-12402.0,-10260.0,4566.0,-14326.0,-1182.0,-8.0,84.0,606.0,323.0,naver
2026-03-23,70029.0,-36751.0,-38173.0,-30239.0,159.0,-6649.0,64.0,108.0,-1617.0,4895.0,naver
2026-03-24,7270.0,-19863.0,9683.0,10178.0,-320.0,-734.0,-12.0,136.0,435.0,2910.0,naver
2026-03-25,-13402.0,-12895.0,23230.0,23351.0,-312.0,-92.0,2.0,133.0,147.0,3067.0,naver
2026-03-26,30598.0,-29370.0,-2999.0,3185.0,76.0,-3811.0,-122.0,96.0,-2423.0,1771.0,naver
2026-03-27,22596.0,-34286.0,7785.0,4181.0,436.0,3236.0,-10.0,170.0,-228.0,3905.0,naver
2026-03-30,8945.0,-20945.0,8450.0,7440.0,93.0,1674.0,-80.0,133.0,-812.0,3550.0,naver
2026-03-31,24400.0,-38386.0,10251.0,9477.0,453.0,528.0,-40.0,123.0,-291.0,3735.0,naver
2026-04-01,-37628.0,-6411.0,40419.0,34308.0,-136.0,6145.0,12.0,281.0,-192.0,3620.0,naver
2026-04-02,12097.0,-1368.0,-14517.0,-16900.0,279.0,1630.0,75.0,310.0,91.0,3788.0,naver
2026-04-03,-20952.0,8035.0,7390.0,2839.0,92.0,4960.0,28.0,28.0,-557.0,5527.0,naver
2026-04-06,-10502.0,-1596.0,8371.0,7597.0,99.0,1373.0,-135.0,288.0,-850.0,3726.0,naver
2026-04-07,-3429.0,3704.0,-4001.0,-3918.0,127.0,310.0,33.0,265.0,-818.0,3726.0,naver
2026-04-08,-54161.0,19089.0,27268.0,29960.0,-648.0,-148.0,60.0,126.0,-2083.0,7805.0,naver
2026-04-09,2950.0,18476.0,-25125.0,5040.0,334.0,368.0,-31117.0,201.0,49.0,3698.0,naver
2026-04-10,-12280.0,10641.0,-2031.0,868.0,-215.0,-2196.0,-218.0,145.0,-416.0,3670.0,naver
2026-04-13,7173.0,-4579.0,-6698.0,-4814.0,-295.0,-194.0,208.0,130.0,-1733.0,4104.0,naver
2026-04-14,-23919.0,8276.0,12545.0,13513.0,-652.0,103.0,-129.0,-35.0,-256.0,3098.0,naver
2026-04-15,-9400.0,4973.0,368.0,8214.0,-1459.0,-5294.0,9.0,14.0,-1116.0,4059.0,naver
2026-04-16,-18050.0,4814.0,10783.0,12460.0,-447.0,-772.0,-7.0,-153.0,-299.0,2453.0,naver
2026-04-17,14464.0,-19974.0,1501.0,4343.0,-622.0,-1253.0,-85.0,-125.0,-757.0,4009.0,naver
2026-04-20,-3158.0,-2338.0,2938.0,5183.0,-610.0,-1676.0,33.0,-72.0,80.0,2558.0,naver
2026-04-21,-19204.0,11565.0,9181.0,9753.0,-1056.0,117.0,-206.0,-50.0,622.0,-1541.0,naver
2026-04-22,11984.0,-6762.0,-4046.0,-4102.0,-270.0,-720.0,55.0,-5.0,995.0,-1176.0,naver
2026-04-23,4514.0,-820.0,-2965.0,177.0,-1027.0,-2299.0,-14.0,1.0,197.0,-728.0,naver
2026-04-24,11832.0,-19496.0,8053.0,10383.0,-409.0,-1332.0,-390.0,3.0,-202.0,-389.0,naver
2026-04-27,-19758.0,8563.0,11349.0,15492.0,-915.0,-1395.0,-145.0,82.0,-1771.0,-155.0,naver
2026-04-28,-1306.0,-1843.0,3532.0,6839.0,-1227.0,-1564.0,-267.0,29.0,-277.0,-383.0,naver
2026-04-29,1681.0,-6071.0,4771.0,1646.0,129.0,3058.0,-26.0,-15.0,-21.0,-381.0,naver
2026-04-30,11824.0,-14559.0,2838.0,5089.0,-473.0,-2219.0,-32.0,123.0,350.0,-103.0,naver
2026-05-04,-47936.0,29308.0,20098.0,19159.0,-1221.0,2657.0,-79.0,89.0,-507.0,-1470.0,naver
2026-05-06,-5715.0,31085.0,-22894.0,-8284.0,-5084.0,-7843.0,-118.0,24.0,-1590.0,-2476.0,naver
2026-05-07,59925.0,-66987.0,8917.0,17617.0,-806.0,-8154.0,-246.0,11.0,494.0,-1855.0,naver
2026-05-08,39707.0,-52967.0,12542.0,15166.0,-826.0,-1357.0,-6.0,67.0,-502.0,718.0,naver
2026-05-11,28669.0,-28147.0,-458.0,10028.0,-3964.0,-4006.0,20.0,412.0,-2948.0,-63.0,naver
2026-05-12,66818.0,-56090.0,-12138.0,-6205.0,-1420.0,-2476.0,-110.0,-70.0,-1857.0,1409.0,naver
2026-05-13,18868.0,-37227.0,16876.0,18852.0,-630.0,1250.0,67.0,-300.0,-2363.0,1482.0,naver
2026-05-14,18499.0,-21450.0,1927.0,12618.0,-1750.0,-6788.0,-121.0,-98.0,-1933.0,1024.0,naver
2026-05-15,72308.0,-56040.0,-17347.0,-9325.0,-278.0,-6808.0,-26.0,39.0,-949.0,1079.0,naver
2026-05-18,22094.0,-36492.0,13904.0,14000.0,-121.0,158.0,-251.0,102.0,16.0,494.0,naver
2026-05-19,56289.0,-57242.0,1575.0,3215.0,-7.0,-376.0,-43.0,172.0,-1386.0,-622.0,naver
2026-05-20,17104.0,-29310.0,11070.0,9774.0,68.0,2553.0,40.0,150.0,-1515.0,1135.0,naver
2026-05-21,-26754.0,-2212.0,29008.0,26231.0,-600.0,4452.0,49.0,-165.0,-959.0,-43.0,naver
