date,account,name,action,qty,price,amount,planned,memo,trigger,emotion,violated_rules,realized_pnl,lesson,entry_via
2026-08-12,미장,SOXL,매수,254.0,192157.0,48807878,N,"미장 5천밖에 안 남았고, 미장 반등세에 기분이 나빴음. 7월 말에 미장 청산만 안 당했어도.. 하는 마음. 마벨x2 사고 싶었으나 단일종목레버리지 매수 제약으로 인해 SOXL 선택.",,조급/복구욕구,,,,sheet
2026-08-17,미장,SOXL,매도,137.0,214549.13,29393211,,,,,,1719231,,chat
2026-08-17,미장,MRVL,매수,91.0,312508.0,28438228,,,,,,,,chat
2026-08-18,국장,삼성전자,매수,33.0,272500.0,8992500,,자기융자매수,,,,,,chat
2026-08-18,국장,삼성전자,매수,17.0,268500.0,4564500,,유통융자매수,,,,,,chat
2026-08-18,국장,SK하이닉스,매수,5.0,1662000.0,8310000,,유통융자매수,,,,,,chat
2026-08-18,국장,SK하이닉스,매수,5.0,1685000.0,8425000,,자기융자매수,,,,,,chat
2026-08-18,국장,삼성전기,매도,3.0,1559000.0,4677000,,유통융자매도,,,,225039,,chat
2026-08-19,국장,현대모비스,매도,50.0,511000.0,25550000,,NXT 거래(본장 이후 체결),,,,-4150850,,chat
2026-08-19,국장,삼성전기,매도,5.0,1390000.0,6950000,,자기융자매도(SOR),,,,-615265,,chat
2026-08-19,국장,삼성전기,매수,5.0,1366000.0,6830000,,정정(자기융자매수)(SOR),,,,,,chat
2026-08-19,국장,SK텔레콤,매도,100.0,94100.0,9410000,,유통융자매도(KRX) — 전량 청산,,,,-660600,,chat
2026-08-19,국장,삼성전자,매수,25.0,255000.0,6375000,,정정(자기융자매수)(SOR),,,,,,chat
2026-08-19,국장,SK하이닉스,매수,5.0,1563000.0,7815000,,정정(자기융자매수)(SOR),,,,,,chat
2026-08-19,미장,SOXL,매수,10.0,188473.7,1884737,,134.4320달러×1402,,,,,,chat
2026-08-19,미장,SOXL,매수,10.0,188556.0,1885560,,134.4900달러×1402,,,,,,chat
2026-08-19,미장,MRVL,매도,5.0,342789.0,1713945,,244.5000달러×1402,,,,151405,,chat
2026-08-19,미장,MRVL,매도,6.0,342761.0,2056566,,244.4800달러×1402,,,,181518,,chat
