ticker,name,account,qty,avg_price_krw,current_price_krw,lev,sector,uses_credit,stop_price_krw,quote_symbol,quote_ccy
KRX:000660,SK하이닉스(신용),국장,130,"1,932,736.27","1,596,000",1,반도체/HW,Y,"1,932,736.27",000660,KRW
KRX:005930,삼성전자(신용),국장,800,"240,649.11","250,000",1,반도체/HW,Y,"240,649.11",005930,KRW
KRX:0193T0,SK하이닉스X2,국장,"12,500","20,042","8,920",2,반도체/HW,N,"20,042",0193T0,KRW
KRX:0193W0,삼성전자X2,국장,"10,750","18,281","10,935",2,반도체/HW,N,"18,281",0193W0,KRW
KRX:009150,삼성전기(신용),국장,35,"1,494,671.38","1,348,000",1,반도체/HW,Y,"1,494,671.38",009150,KRW
SOXL,Direxion Daily Semiconductor Bull 3X,미장,270,"167,023.16","144,091",3,반도체/HW,N,"180,000",SOXL,USD
KRX:017670,SK텔레콤,국장,100,"94,391","89,000",1,통신,N,"94,391",017670,KRW
KRX:012330,현대모비스(신용),국장,100,"635,757","423,500",1,로봇/피지컬AI,Y,"635,757",012330,KRW
KRX:006400,삼성SDI,국장,4,"541,000","539,000",1,2차전지,N,"541,000",006400,KRW
KRX:010120,LS ELECTRIC,국장,1,"219,500","192,100",1,전력인프라,N,"219,500",010120,KRW
KRX:010120,LS ELECTRIC(신용),국장,9,"194,100","192,100",1,전력인프라,Y,"194,100",010120,KRW
KRX:0193T0,SK하이닉스X2,ISA,"2,900","17,550","8,920",2,반도체/HW,N,"17,550",0193T0,KRW
KRX:009150,삼성전기,ISA,7,"1,187,540","1,348,000",1,AI/데이터센터,N,"1,187,540",009150,KRW
CREDIT_국장,신용잔고,국장,1,"486,606,331","486,606,331",1,신용,N,,,KRW
CASH_국장,예수금,국장,1,"78,582,124","78,582,124",1,현금,N,,,KRW
CASH_미장,예수금,미장,1,"121,310","121,310",1,현금,N,,,KRW
CASH_ISA,예수금,ISA,1,"1,298,825","1,298,825",1,현금,N,,,KRW
