date,ticker,name,quote_symbol,quote_ccy,price,price_krw,open,high,low,source
2026-01-02,EWY,iShares MSCI South Korea ETF,EWY,USD,102.22,147568.8841,145807.6415,147742.1138,145591.0933,backfill(yahoo×fx)
2026-01-02,KRX:000660,SK하이닉스(신용),000660,KRW,677000.0,677000.0,651000.0,679000.0,647000.0,backfill(yahoo.KS)
2026-01-02,KRX:003230,삼양식품,003230,KRW,1276000.0,1276000.0,1240000.0,1286000.0,1232000.0,backfill(yahoo.KS)
2026-01-02,KRX:005930,삼성전자(신용),005930,KRW,128500.0,128500.0,120200.0,128500.0,120200.0,backfill(yahoo.KS)
2026-01-02,KRX:005935,삼성전자우,005935,KRW,94400.0,94400.0,89200.0,94400.0,89200.0,backfill(yahoo.KS)
2026-01-02,KRX:006400,삼성SDI,006400,KRW,262500.0,262500.0,268000.0,268000.0,259000.0,backfill(yahoo.KS)
2026-01-02,KRX:009150,삼성전기,009150,KRW,270000.0,270000.0,256500.0,273000.0,253000.0,backfill(yahoo.KS)
2026-01-02,KRX:010120,LS ELECTRIC(신용),010120,KRW,98500.0,98500.0,93100.0,99800.0,90300.0,backfill(yahoo.KS)
2026-01-02,KRX:012330,현대모비스(신용),012330,KRW,369000.0,369000.0,374000.0,385000.0,365000.0,backfill(yahoo.KS)
2026-01-02,KRX:017670,SK텔레콤,017670,KRW,53300.0,53300.0,53500.0,53700.0,52900.0,backfill(yahoo.KS)
2026-01-02,KRX:032830,삼성생명,032830,KRW,156300.0,156300.0,157400.0,157600.0,151300.0,backfill(yahoo.KS)
2026-01-02,MU,Micron Technology,MU,USD,315.42,455352.9528,426061.4846,455612.7974,425671.6736,backfill(yahoo×fx)
2026-01-02,QQQ,Invesco QQQ Trust,QQQ,USD,613.12,885124.5587,895143.424,899171.1479,880836.9902,backfill(yahoo×fx)
2026-01-02,SOXL,Direxion Daily Semiconductor Bull 3X,SOXL,USD,47.24,68197.5567,65151.4754,69424.6485,65079.2945,backfill(yahoo×fx)
2026-01-02,SOXX,iShares Semiconductor ETF,SOXX,USD,313.69,452855.4397,445449.5594,455915.9495,445449.5594,backfill(yahoo×fx)
2026-01-05,EWY,iShares MSCI South Korea ETF,EWY,USD,104.83,151005.519,151221.5932,151610.5179,149838.7227,backfill(yahoo×fx)
2026-01-05,KRX:000660,SK하이닉스(신용),000660,KRW,696000.0,696000.0,698000.0,700000.0,684000.0,backfill(yahoo.KS)
2026-01-05,KRX:003230,삼양식품,003230,KRW,1274000.0,1274000.0,1270000.0,1276000.0,1241000.0,backfill(yahoo.KS)
