ticker,price_krw,asof,source
KRX:003230,1475000.0,2026-09-02,naver
KRX:032830,294000.0,2026-09-02,naver
KRX:005935,185500.0,2026-09-02,naver
SOXX,681812.4618,2026-09-02,yahoo×FX1362.8
MU,1272073.3632,2026-09-02,yahoo×FX1362.8
SKHY,219107.7684,2026-09-02,yahoo×FX1362.8
EWY,239576.724,2026-09-02,yahoo×FX1362.8
QQQ,964357.6392,2026-09-02,yahoo×FX1362.8
KRX:006400,538000.0,2026-09-02,naver
KRX:010120,195700.0,2026-09-02,naver
KRX:000660,1613000.0,2026-09-02,naver
KRX:005930,250500.0,2026-09-02,naver
KRX:0193T0,9115.0,2026-09-02,naver
KRX:0193W0,10935.0,2026-09-02,naver
KRX:009150,1400000.0,2026-09-02,naver
SOXL,144332.0298,2026-09-02,yahoo×FX1362.8
KRX:017670,91400.0,2026-09-02,naver
KRX:012330,415500.0,2026-09-02,naver
CREDIT_국장,520017763.0,2026-09-02,manual(신용)
CASH_국장,1498887.0,2026-09-02,manual(현금)
CASH_미장,121310.0,2026-09-02,manual(현금)
CASH_ISA,1298825.0,2026-09-02,manual(현금)
