실거래일자,거래유형,상세내용,종목명,수량,단가,거래금액,정산금액,잔고,예수금잔액,수수료,세금,거래일자
2025.05.05,입금,이체입금,,0,0,940000,940000,0,940000,0,0,2025.05.07
2025.05.05,입금,이체입금,,0,0,60000,60000,0,1000000,0,0,2025.05.07
2025.05.07,매도,외화증권매도,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,-1,0,0,0,2025.05.07
2025.05.07,매도,외화증권매도,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,-2,0,0,0,2025.05.07
2025.05.07,매도,외화증권매도,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,-3,0,0,0,2025.05.07
2025.05.07,매도,외화증권매도,인베스코 QQQ 트러스트 시리즈1 ETF,2,484,969,969,-5,0,0,0,2025.05.07
2025.05.07,매수,외화증권매수,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,-4,0,0,0,2025.05.07
2025.05.07,매수,외화증권매수,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,-3,0,0,0,2025.05.07
2025.05.07,매수,외화증권매수,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,-2,0,0,0,2025.05.07
2025.05.07,매수,외화증권매수,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,-1,0,0,0,2025.05.07
2025.05.07,매수,외화증권매수,인베스코 QQQ 트러스트 시리즈1 ETF,1,484,484,484,0,0,0,0,2025.05.07
2025.05.07,입금,쿠폰이벤트 지원금(외화),,0,0,30,30,0,0,0,0,2025.05.07
2025.05.07,입금,쿠폰이벤트 지원금(원화),,0,0,10000,10000,0,1010000,0,0,2025.05.07
2025.05.08,입고,타사대체입고,스포티파이 테크놀러지,4,585,0,0,4,1010000,0,0,2025.05.08
2025.05.08,입고,타사대체입고,아처 에비에이션,150,8,0,0,150,1010000,0,0,2025.05.08
2025.05.08,입고,타사대체입고,디파이언스 양자컴퓨터 ETF,25,73,0,0,25,1010000,0,0,2025.05.08
2025.05.08,입고,타사대체입고,일라이 릴리,5,850,0,0,5,1010000,0,0,2025.05.08
2025.05.08,입고,타사대체입고,엔비디아,65,125,0,0,65,1010000,0,0,2025.05.08
2025.05.08,입고,타사대체입고,팔란티어 테크놀로지스,10,104,0,0,10,1010000,0,0,2025.05.08
2025.05.08,입고,타사대체입고,템퍼스 AI,20,54,0,0,20,1010000,0,0,2025.05.08
2025.05.08,입고,타사대체입고,테슬라,20,269,0,0,20,1010000,0,0,2025.05.08
2025.05.08,매수,외화증권매수,아처 에비에이션,5,8,42,42,155,0,0,0,2025.05.08
