name,code,confidence,note
삼성전자,005930,high,
SK하이닉스,000660,high,
LG전자,066570,high,
LG이노텍,011070,high,
삼성SDI,006400,high,
삼성전기,009150,high,
삼성생명,032830,high,
삼성화재,000810,high,
삼성증권,016360,high,
현대차,005380,high,
현대모비스,012330,high,
LS,006260,high,
LS ELECTRIC,010120,high,
고려아연,010130,high,
대덕전자,353200,high,
대우건설,047040,high,
대한유화,006650,high,
대한항공,003490,high,
롯데쇼핑,023530,high,
리노공업,058470,high,
삼양식품,003230,high,
에스티팜,237690,high,
하이브,352820,high,
한국금융지주,071050,high,
한국전력,015760,high,
한국항공우주,047810,high,
한화에어로스페이스,012450,high,
한화오션,042660,high,
현대건설,000720,high,
SK가스,018670,high,
SK텔레콤,017670,high,
S-Oil,010950,high,
OCI홀딩스,456040,high,
HD현대일렉트릭,267260,high,
HD현대에너지솔루션,322000,high,
JYP Ent.,035900,high,
리가켐바이오,141080,high,
보로노이,310210,high,
알테오젠,196170,high,
올릭스,226950,high,
티에스이,131290,high,
에이비엘바이오,298380,high,
에이피알,278470,high,
서부T&D,006730,high,
일동제약,249420,high,
디앤디파마텍,347860,high,
삼성E&A,028050,medium,구 삼성엔지니어링
한화엔진,082740,medium,구 HSD엔진
롯데에너지머티리얼즈,020150,medium,구 일진머티리얼즈
GST,083450,high,
GS피앤엘,499790,high,
KODEX SK하이닉스단일종목레버리지,0193T0,high,
KODEX 금액티브,0064K0,high,
KODEX 미국S&P바이오(합성),185680,high,
KODEX 미국나스닥100,379810,high,
KODEX 삼성전자단일종목레버리지,0193W0,high,
KODEX 은선물(H),144600,high,
KODEX 차이나CSI300,283580,high,
KODEX 차이나H,099140,high,
KODEX 코스닥150,229200,high,
KODEX 코스닥150레버리지,233740,high,
KoAct 미국치매&뇌질환치료제액티브,490330,medium,
KoAct 바이오헬스케어액티브,462900,high,
LIG디펜스앤에어로스페이스,079550,high,
PLUS K방산,449450,high,
SOL AI반도체소부장,455850,high,
SOL 자동차TOP3플러스,466930,high,
TIGER 글로벌AI&로보틱스 INDXX,464310,high,
TIGER 미국나스닥100레버리지(합성),418660,high,
TIGER 차이나과창판STAR50(합성),414780,high,
TIGER 차이나반도체FACTSET,396520,high,
TIGER 차이나전기차SOLACTIVE,371460,high,
TIGER 차이나항셍테크,371160,high,
TIGER 차이나휴머노이드로봇,0053L0,high,
TIGER 코리아AI전력기기TOP3플러스,0117V0,high,
TIME K바이오액티브,463050,high,
TIME 미국나스닥100액티브,426030,high,
로보티즈,108490,high,
삼성에피스홀딩스,0126Z0,high,
에스피지,058610,high,
에이프릴바이오,397030,high,
오름테라퓨틱,475830,high,
인벤티지랩,389470,high,
지투지바이오,456160,high,
펩트론,087010,high,
퓨쳐켐,220100,high,
한투 일본종합상사TOP5 ETN,Q570100,high,
